"filename", "language", "TypeScript JSX", "Makefile", "TypeScript", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "XML", "comment", "blank", "total"
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/[id]/page.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/create/page.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/page.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/social-accounts/page.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(public)/public/reports/[share_id]/page.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(public)/public/reports/page.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/api/cron/comments/route.ts", "TypeScript", 0, 0, 155, 0, 0, 0, 0, 0, 0, 11, 26, 192
"/Users/kuben/projects/surge/surgelight/src/app/api/cron/reports/route.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 8, 13, 82
"/Users/kuben/projects/surge/surgelight/src/app/api/cron/route.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 5, 25
"/Users/kuben/projects/surge/surgelight/src/app/api/uploadthing/core.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 2, 7, 68
"/Users/kuben/projects/surge/surgelight/src/app/api/uploadthing/route.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 4, 12
