"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "CSS", "JSON", "Markdown", "Makefile", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/kuben/projects/surge/surgelight/src/app/(auth)/sign-in/[[...sign-in]]/page.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/kuben/projects/surge/surgelight/src/app/(auth)/sign-up/[[...sign-up]]/page.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/analytics/page.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/[id]/analytics/page.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/[id]/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/create/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/pricing/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/[id]/edit/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/[id]/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/create/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
